1e-05	7	0.77619	0.66704	0.77619	0.64849	0.67192	0.66	0.60409	3.7415
0.0001	7	0.77619	0.66704	0.77619	0.64849	0.67192	0.66	0.60409	1.7326
0.001	7	0.77619	0.67696	0.77619	0.65238	0.6798	0.66581	0.61068	1.4148
0.01	7	0.8	0.70455	0.8	0.67831	0.70772	0.6927	0.64197	1.8861
0.1	7	0.8	0.66856	0.8	0.65795	0.67783	0.66775	0.61329	2.7142
1	7	0.74286	0.607	0.74286	0.58393	0.59179	0.58783	0.52091	2.4341
10	7	0.6619	0.56419	0.67619	0.52182	0.58128	0.54995	0.47286	1.8764
100	7	0.69048	0.57632	0.69048	0.55961	0.5642	0.5619	0.49098	1.7264
1000	7	0.65714	0.54421	0.65714	0.52419	0.53727	0.53065	0.45395	1.839
10000	7	0.65714	0.54421	0.65714	0.52419	0.53727	0.53065	0.45395	1.1167
1e-05	20	0.76667	0.6732	0.76667	0.62546	0.67291	0.64832	0.58924	1.2705
0.0001	20	0.76667	0.6732	0.76667	0.62546	0.67291	0.64832	0.58924	1.2537
0.001	20	0.73333	0.70064	0.78571	0.6385	0.70476	0.67	0.61376	1.2439
0.01	20	0.7619	0.68959	0.77619	0.64738	0.70181	0.6735	0.61841	1.2869
0.1	20	0.77143	0.69254	0.77143	0.64753	0.69261	0.66931	0.61394	1.251
1	20	0.76667	0.64771	0.76667	0.59496	0.65123	0.62183	0.55768	1.3313
10	20	0.71905	0.58807	0.71905	0.57606	0.58325	0.57963	0.51142	1.0427
100	20	0.66667	0.5337	0.66667	0.51543	0.54319	0.52894	0.45073	0.97485
1000	20	0.64762	0.51144	0.64762	0.48952	0.49852	0.49398	0.41159	0.95736
10000	20	0.64762	0.51144	0.64762	0.48952	0.49852	0.49398	0.41159	1.0638
1e-05	30	0.74762	0.6626	0.74762	0.56186	0.68604	0.61777	0.54896	1.2982
0.0001	30	0.75238	0.66582	0.75238	0.56723	0.6913	0.62315	0.55537	1.3246
0.001	30	0.74762	0.68783	0.77619	0.56546	0.73333	0.63855	0.57139	1.0585
0.01	30	0.74762	0.66932	0.77143	0.55978	0.71034	0.62614	0.55745	1.4744
0.1	30	0.7381	0.63647	0.74286	0.53638	0.65846	0.59118	0.51737	1.0388
1	30	0.74762	0.63489	0.74762	0.56006	0.63087	0.59336	0.52328	1.1334
10	30	0.75238	0.60552	0.75238	0.59188	0.60821	0.59994	0.53446	0.98579
100	30	0.69048	0.55495	0.7	0.54394	0.55698	0.55038	0.47694	1.0469
1000	30	0.64286	0.51639	0.66667	0.4877	0.49491	0.49128	0.40862	1.1772
10000	30	0.65714	0.53844	0.68095	0.5099	0.51593	0.5129	0.43388	1.0407
1e-05	40	0.75714	0.7112	0.79524	0.63432	0.7514	0.68791	0.63263	1.1941
0.0001	40	0.75714	0.70285	0.79524	0.63291	0.74516	0.68446	0.62876	1.0518
0.001	40	0.74762	0.68454	0.78571	0.60985	0.7156	0.65851	0.59833	1.0688
0.01	40	0.74762	0.67033	0.78095	0.59744	0.70378	0.64626	0.58379	1.0851
0.1	40	0.75238	0.73121	0.78571	0.61296	0.77964	0.68633	0.62863	1.103
1	40	0.70952	0.62562	0.73333	0.57097	0.64466	0.60558	0.53752	1.0746
10	40	0.71905	0.5929	0.71905	0.56758	0.60263	0.58458	0.51531	1.1572
100	40	0.72381	0.59261	0.72381	0.58585	0.59278	0.58929	0.52267	1.0201
1000	40	0.68095	0.53668	0.68095	0.50088	0.55862	0.52818	0.44731	0.98653
10000	40	0.68095	0.53668	0.68095	0.50088	0.55862	0.52818	0.44731	0.95443
1e-05	50	0.68095	0.63074	0.71905	0.46897	0.6601	0.54836	0.46089	1.3709
0.0001	50	0.59048	0.61087	0.65714	0.40093	0.76355	0.52578	0.42029	1.5799
