0.01	70	0.747	0.73775	0.747	0.56445	0.66863	0.61214	0.56519	3.1549
0.1	70	0.8065	0.82448	0.846	0.739	0.84178	0.78705	0.76179	3.1246
1	70	0.893	0.81454	0.893	0.79773	0.80635	0.80202	0.78	3.1379
10	70	0.753	0.72129	0.766	0.65797	0.67963	0.66862	0.63133	2.9088
100	70	0.768	0.74548	0.7725	0.677	0.70142	0.68899	0.65393	2.6973
1000	70	0.7695	0.7467	0.7735	0.67859	0.70316	0.69065	0.65578	2.6177
10000	70	0.768	0.744	0.7715	0.67565	0.70049	0.68785	0.65264	2.5579
1e-05	80	0.6805	0.72201	0.7205	0.57544	0.70971	0.63556	0.59054	3.502
0.0001	80	0.679	0.72257	0.7195	0.57339	0.71081	0.63475	0.58951	3.4838
0.001	80	0.6785	0.72121	0.719	0.57219	0.70891	0.63325	0.58784	3.4587
0.01	80	0.674	0.72217	0.717	0.57929	0.70652	0.63661	0.59197	3.4523
0.1	80	0.8135	0.82277	0.8405	0.75039	0.83054	0.78843	0.76372	3.4746
1	80	0.8945	0.81078	0.8945	0.80147	0.80744	0.80444	0.78273	3.4597
10	80	0.829	0.75394	0.829	0.71057	0.72518	0.7178	0.68625	3.1975
100	80	0.762	0.73707	0.7655	0.66742	0.69486	0.68087	0.64479	2.8423
1000	80	0.768	0.73894	0.768	0.66863	0.70089	0.68438	0.64857	2.8734
10000	80	0.7695	0.74022	0.7695	0.66941	0.70134	0.685	0.64927	2.8093
