0.01	50	0.087	0.15079	0.10175	16.401
1	50	0.09275	0.15812	0.10825	11.891
100	50	0.0905	0.15508	0.1065	11.5
0.01	50	0.087	0.15079	0.10175	11.771
1	50	0.09275	0.15812	0.10825	12.268
100	50	0.0905	0.15508	0.1065	11.46
0.01	100	0.08975	0.15195	0.116	22.229
1	100	0.09175	0.15775	0.12075	22.146
100	100	0.09	0.1549	0.1305	21.639
0.01	50	0.10425	0.17034	0.12175	16.794
1	50	0.1035	0.17306	0.1185	12.063
100	50	0.10225	0.16883	0.116	11.204
0.01	50	0.10425	0.17034	0.12175	11.368
1	50	0.1035	0.17306	0.1185	11.8
100	50	0.10225	0.16883	0.116	11.813
0.01	100	0.10175	0.16756	0.1435	22.594
1	100	0.1035	0.17096	0.13625	25.643
100	100	0.1055	0.17111	0.1535	21.56
