0.01	4	0.84675	0.65264	0.84675	2.76
1	4	0.8465	0.65231	0.8465	2.6501
100	4	0.62325	0.49412	0.69275	2.6526
0.01	50	0.546	0.42739	0.7635	4.4027
1	50	0.625	0.56977	0.82475	4.2328
100	50	0.8915	0.72618	0.8915	4.1832
0.01	100	0.614	0.52453	0.81875	7.9944
1	100	0.62975	0.5674	0.83	8.0945
100	100	0.64175	0.62882	0.8345	8.0869
