Dataset ACC NMI PURITY FSCORE TIME
Dataset:Caltech101-20	 0.5947	 0.5641	 0.7045	 0.4303	 Time:32.3014

Dataset:Caltech101-20	 0.5947	 0.5641	 0.7045	 0.4303	 Time:32.5461

Dataset:Caltech101-20	 0.5947	 0.5641	 0.7045	 0.4303	 Time:30.3882

Dataset:Caltech101-20	 0.5947	 0.5641	 0.7045	 0.4303	 Time:32.2950

Dataset:Caltech101-7	 0.1877	 0.1345	 0.2027	 0.0872	 0.3440	 0.1391	 0.0324	 Time:7.0212

Dataset:Caltech101-7	 0.1877	 0.1345	 0.2027	 0.0872	 0.3440	 0.1391	 0.0324	 Time:7.6586

Dataset:Caltech101-7	 0.1877	 0.1345	 0.2027	 0.0872	 0.3440	 0.1391	 0.0324	 Time:7.1148

Dataset:Caltech101-7	 0.1877	 0.1345	 0.2027	 0.0872	 0.3440	 0.1391	 0.0324	 Time:7.3109

Dataset:Caltech101-7	 0.1556	 0.1096	 0.1744	 0.0850	 0.3861	 0.1394	 0.0295	 Time:7.5593

Dataset:Caltech101-7	 0.1877	 0.1345	 0.2027	 0.0872	 0.3440	 0.1391	 0.0324	 Time:6.9608

Dataset:Caltech101-7	 0.1877	 0.1345	 0.2027	 0.0872	 0.3440	 0.1391	 0.0324	 Time:7.9619

Dataset:Caltech101-7	 0.1877	 0.1345	 0.2027	 0.0872	 0.3440	 0.1391	 0.0324	 Time:7.2505

Dataset:Caltech101-7	 0.1050	 0.0291	 0.1129	 0.0833	 0.8968	 0.1524	 0.0007	 Time:3.3484

Dataset:Caltech101-7	 0.0971	 0.0172	 0.0992	 0.0830	 0.9416	 0.1526	 0.0001	 Time:3.6319

Dataset:Caltech101-7	 0.1212	 0.0385	 0.1225	 0.0853	 0.9431	 0.1564	 0.0050	 Time:6.3488

Dataset:Caltech101-7	 0.1133	 0.0315	 0.1154	 0.0843	 0.9483	 0.1549	 0.0030	 Time:5.4986

Dataset:Caltech101-7	 0.1179	 0.0354	 0.1200	 0.0850	 0.9418	 0.1559	 0.0045	 Time:5.7277

Dataset:Caltech101-7	 0.1163	 0.0333	 0.1221	 0.0842	 0.8847	 0.1537	 0.0026	 Time:4.9286

Dataset:Caltech101-7	 0.0272	 0.0123	 0.0323	 0.0198	 0.9758	 0.0387	 0.0000	 Time:13.4527

Dataset:Caltech101-7	 0.0272	 0.0123	 0.0323	 0.0198	 0.9758	 0.0387	 0.0000	 Time:13.2615

Dataset:Caltech101-7	 0.0270	 0.0129	 0.0323	 0.0198	 0.9738	 0.0387	 0.0000	 Time:22.8857

Dataset:Caltech101-7	 0.0283	 0.0131	 0.0325	 0.0198	 0.9732	 0.0387	 0.0000	 Time:40.1437

Dataset:Caltech101-7	 0.0267	 0.0129	 0.0323	 0.0198	 0.9737	 0.0387	 0.0000	 Time:62.0628

